LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
Southwark,London South Bank University,SE1 0AA,London,London South Bank University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,12440446.77311315331,00,0.0,00,00,9774817.9139749201,00,00,0.0,00,0.0,0.0,0.0,105460006891000.0,00,1.72532000171787e+17,22215264.68621064532,0000,218269000197548000,150935.59150935.59,201926000199114000,55.9%50.8%55.9%50.8%,0000
Leicestershire,Loughborough University,LE11 3TU,East Midlands,Loughborough University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188239.18610699975,00,00,3176751025367518,6089544.6758736724,0.0,00,00,57037849.21458518659,15157157.78627547399,00,0.0,00,0.0,0.0,0.0,6991800056935000.0,00,2.17344000202663e+17,101083143.075103322876,12277783.8611943669912277783.86119436699,348652000388391000,328368.26321717.13,379054000337261000,0.0%0.0%0.0%0.0%,0000
Enfield,Middlesex University,N14 4YZ,London,Middlesex University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304217,0,0,8829821,462409,0.0,0,0,6447501,947716,73398,0.0,0,0.0,0.0,0.0,10478000.0,0,161554000.0,16117346,304217304217,211949000,92771,201554000,0.0%0.0%,7339873398
,Newcastle University,,,Newcastle University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319726179249,00,117231102579,46564199.1544809804.042,531740296209,0.0,148895217210,00,48584655.0256899638.669,1047391583458,18991758786,0.0,00,0.0,0.0,0.0,1.64618000146747e+17,13568640.3413899640.337,3.4696600032839e+17,110082796.51116524430.048,851466475458851466475458,573229000639627000,487550.31490051.77,608288000558606000,42.3%33.8%42.3%33.8%,1899175878618991758786
Norfolk,Norwich University of the Arts,NR2 4SN,East of England,Norwich University of the Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,18573921699310,00,0.0,00,00,19311102006330,00,00,0.0,00,0.0,0.0,0.0,954000427000.0,00,2761100026423000.0,37885023705640,0,2590400023640000,3125624806,3114000028714000,0,0
Oxfordshire,Oxford Brookes University,OX3 0BP,South East,Oxford Brookes University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480681218885,00,00,1209160912103722,18740462125046,0.0,00,00,1944142023160592,34467823919535,326579326579,0.0,08000,0.0,0.0,0.0,1447400014376000.0,00,1.59080000147558e+17,3482384139032029,2922114334393129221143343931,238124000232269000,215418213218,238030000216558000,35.0%0.0%35.0%0.0%,326579326579326579326579
,"Queen Margaret University, Edinburgh",,,"Queen Margaret University, Edinburgh",0.0,2161.0,0.0,0.0,0.0,0.0,0.0,00,00,00,3544155.983849304.89,00,0.0,00,00,5839290.926699189.51,00,00,0.0,00,0.0,0.0,0.0,37290004617000.0,00,3865900036863000.0,9383446.910550655.4,0000,5095500048723000,46416.5846416.58,5111700048317000,0.0%0.0%0.0%0.0%,0216102161
Tower Hamlets,Queen Mary University of London,E1 4NS,London,Queen Mary University of London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0672453,00,88308.60,3253155932013175.5,02214384,0.0,00,00,2772096825774488.1,03396279,6115728531,0.0,00,0.0,0.0,0.0,1.86005000161766e+17,00,4.14312000388993e+17,60401992.660787821,02886836.75502886836.755,603306000630957000,265448.3264929.59,679819000634528000,0,61157147356115714735
,Queen's University Belfast,,,Queen's University Belfast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887483313420705,00,00,2897559123427320,57954959147245,0.0,00,00,5245194752966726,2378051736885661,6134447275,0.0,00,0.0,0.0,0.0,1.34911000130813e+17,00,2.37359000230798e+17,9684241899621645,887483313420705887483313420705,441464000517107000,425595397670,460525000437681000,100.0%100.0%,6134461344
,Robert Gordon University,,,Robert Gordon University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,501146.8124984.6,00,9562629.99489518.2,00,0.0,00,00,14699681.8115865892.832,00,30136.9432131,0.0,8651700,0.0,0.0,0.0,65760005687000.0,00,1.0933600098894e+16,25658765.4525512526.632,0000,126624000114913000,106562106382,129364000114741000,37.4%45.0%37.4%45.0%,895306.9432131895306.9432131
