LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
Manchester,University of Manchester,M13 9PL,North West,University of Chester,0.0,0.0,0.0,0.0,161215200.0,19994857.0,0.0,00,00,00,15877631.1516572604,00,0.0,00,00,00,00,188869.1331354,0.0,00,0.0,0.0,0.0,0.0,1261935613504494,0.0,44807376.2550403309,0000,0,205199.36200992.43,0,13.4%13.4%13.4%13.4%,188869.1331354188869.1331354
West Sussex,University of Chichester,PO19 6PE,South East,University of Chester,0.0,0.0,0.0,0.0,161215200.0,19994857.0,0.0,00,00,00,15877631.1516572604,00,0.0,00,00,00,00,188869.1331354,0.0,00,0.0,0.0,0.0,0.0,1261935613504494,0.0,44807376.2550403309,0000,0,205199.36200992.43,0,13.4%13.4%13.4%13.4%,188869.1331354188869.1331354
Cumberland,University of Cumbria,CA3 8TB,North West,University of Cumbria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,3601402.33627037,00,0.0,00,00,9847005.27110206488.5,00,00,0.0,00,0.0,0.0,0.0,14800001134000.0,00,6408000061299000.0,13448407.57113833525.5,0000,7392800069997000,68982.8765470.89,7364800070324000,0.0%0.0%0.0%0.0%,0000
Derby,University of Derby,DE22 1GB,East Midlands,University of Derby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855519729560,00,00,1386750611248133,13331841136898,0.0,00,00,1821187812227577,23847592033649,11299668167,0.0,00,0.0,0.0,0.0,48600003138000.0,00,1.74361000164498e+17,3438108325410335,855519729560855519729560,212698000217426000,157188.51160875.04,209652000197913000,0.0%39.3%0.0%39.3%,11299648770.8211299648770.82
County Durham,University of Durham,DH1 3HP,North East,University of Durham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8528021007191,00,672231156.15,3861785839023425,12792031510786,0.0,00,00,6593620066571034,25063263357303,233004260995,0.0,11543194325,0.0,0.0,0.0,8910400079006000.0,00,3.05078000287378e+17,107041220108498912.15,2132005251797721320052517977,489132000532686000,408005.57421646.642,484223000468543000,0.0%24.0%0.0%24.0%,348435355320348435355320
Gloucestershire,University of Gloucestershire,GL50 2RH,South West,University of Gloucestershire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,44667944630721,00,0.0,00,00,48924386647501,00,00,0.0,00,0.0,0.0,0.0,40580003552000.0,00,7146000066897000.0,935923211278222,0000,8905400088412000,91966.94493455.024,8823400080992000,52.3%42.7%52.3%42.7%,0000
Hertfordshire,University of Hertfordshire,AL10 9AB,East of England,University of Hertfordshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,24745342.925223921,00,0.0,171540.9145114,00,2115512624604427,00,280500280500,0.0,00,0.0,0.0,0.0,1936400014959000.0,00,2.83592000254639e+17,46352509.850253962,0000,364064000332330000,192641193272,383998000339471000,0.0%0.0%0.0%0.0%,280500280500280500280500
,University of London (Institutes and activities),,,University of London (Institutes and activities),0.0,0.0,0.0,0.0,0.0,0.0,0.0,343474376878,00,00,1121814711164960,27081722833572,0.0,00,00,51994257144770,00,6805686584,0.0,00,0.0,0.0,0.0,20040001769000.0,00,9609700095649000.0,1953727421606764,0,184524000207952000,208019214444,196019000182657000,0,0
Newcastle upon Tyne,University of Northumbria At Newcastle,NE1 8ST,North East,University of Northumbria at Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349954575522,00,00,1961571220025433,563427921048,0.0,00,00,2125306623693982,11325391852391,286646286220,0.0,00,0.0,0.0,0.0,3707800027994000.0,28823232882323,3.01218000269963e+17,4495112848384528,91338114965709133811496570,369395000329055000,244175243149,382103000329456000,47.0%44.0%47.0%44.0%,286646286220286646286220
Nottinghamshire,University of Nottingham,NG7 2RD,East Midlands,University of Nottingham,716831275960.0,1614781059.0,0.0,0.0,0.0,0.0,0.0,12279331561621,00,278908283372,7070194670104945,15705001514579,0.0,00,00,8446037382979398,352078011525122,382986406669,0.0,113276223043,0.0,0.0,0.0,1.91499000186115e+17,2022204917872059,4.92164000487497e+17,179045801176302705,2581823282502125818232825021,776278000925347000,717601.13689839.979,822840000801866000,0.0%0.0%0.0%0.0%,58409219867315840921986731
Plymouth,Arts University Plymouth,PL4 8AT,South West,University of Plymouth,11102430.0,0.0,0.0,0.0,0.0,0.0,0.0,15689811106382,2274117336,00,1229869112303287,20788161438106,0.0,00,00,90377699696901,49830183884760,6013755396,0.0,3564936310,0.0,0.0,0.0,3176100031100000.0,00,1.84442000172189e+17,2621302724653718,3647797254448836477972544488,251893000247345000,185845.8187076,265324000247093000,42.4%47.5%42.4%47.5%,95786917059578691705
Plymouth,University of Plymouth,PL4 8AA,South West,University of Plymouth,11102430.0,0.0,0.0,0.0,0.0,0.0,0.0,15689811106382,2274117336,00,1229869112303287,20788161438106,0.0,00,00,90377699696901,49830183884760,6013755396,0.0,3564936310,0.0,0.0,0.0,3176100031100000.0,00,1.84442000172189e+17,2621302724653718,3647797254448836477972544488,251893000247345000,185845.8187076,265324000247093000,42.4%47.5%42.4%47.5%,95786917059578691705
,University of South Wales,,,University of South Wales,17007.38,1003200289027.0,0.0,0.0,0.0,0.0,0.0,00,038594,00,13257670.8113447869.84,00,0.0,00,00,14159610.116033329.41,00,431903107039,0.0,00,0.0,0.0,0.0,1212800012473000.0,00,1.89339000183064e+17,28852383.9129932866.63,0000,227265000216056000,180587.05184072.54,233031000218934000,48.0%46.0%48.0%46.0%,143510346549143510346549
,University of St Mark and St John,,,University of St Mark and St John,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,21944582187984,00,0.0,00,00,30345483747041,00,170520186520,0.0,00,0.0,0.0,0.0,301000110000.0,00,2207700022206000.0,53995266121545,0000,3203700033119000,3498834988,2958000032071000,100.0%100.0%100.0%100.0%,327890337510327890337510
Suffolk,University of Suffolk,IP4 1QJ,East of England,University of Suffolk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,30112742780604.94,00,0.0,00,00,7630341109154.74,00,5009141293,0.0,00,0.0,0.0,0.0,18180001183000.0,00,1.26978000127721e+17,38243993931052.68,0000,128496000131920000,31496.831496.8,144399000135223000,71.2%22.5%71.2%22.5%,50091412935009141293
Camden,University of the Arts London,WC1V 7EY,London,"University of the Arts, London",0.0,0.0,0.0,0.0,0.0,0.0,0.0,55249.9173435.953,00,10244281166397,13892984.3913397532.09,118888.262158021.483,0.0,00,00,14840317.80913472781.736,183554.519243973.264,56600.56929192.814,0.0,00,0.0,0.0,0.0,85340007184000.0,00,3.62383000340437e+17,29988468.9428297361.076,174138.172231457.436174138.172231457.436,409597000367402000,197065.084184613.56,425378000384907000,36.2%100.0%36.2%100.0%,2360480.5692333072.8142360480.5692333072.814
South Gloucestershire,"University of the West of England, Bristol",BS16 1QY,South West,"University of the West of England, Bristol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35631753723127,00,00,2656333126577727,52451605512720,0.0,00,00,2367697823410952,1102090611623268,444312458329.27,0.0,00,0.0,0.0,0.0,2346500023899000.0,00,2.99764000298013e+17,5949295659682855.27,8808335923584788083359235847,378856000368793000,308832.62308304.27,383410000377595000,24.7%43.0%24.7%43.0%,444312458329.27444312458329.27
,University of Wales Trinity Saint David,,,University of Wales Trinity Saint David,0.0,0.0,0.0,0.0,0.0,0.0,0.0,041.2,00,00,6829068.456159300.33,051.5,0.0,00,00,1164264112932316.43,045.45,9026592313,0.0,00,0.0,0.0,0.0,64990001183000.0,00,1.49157000155041e+17,18561974.4519184022.46,01030103,194045000197185000,146762.21143458.985,183116000180870000,0.0%100.0%0.0%100.0%,90265923139026592313
Worcestershire,University of Worcester,WR2 6AJ,West Midlands,University of Worcester,0.0,0.0,0.0,0.0,76831670.0,9930250.0,0.0,00,00,00,44235404630723,00,0.0,1849353836,00,00,00,375276140612,0.0,4965322765,0.0,0.0,0.0,24140001765000.0,00,7812200079481000.0,1255012914778186,07350735,9930100096399000,87405.1287697.98,9609300092183000,100.0%100.0%100.0%100.0%,424929163377424929163377
,Wrexham University,,,Wrexham University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,42301194036452,00,0.0,00,00,66145206371401,00,86998.70,0.0,00,0.0,0.0,0.0,18020002850000.0,00,4159400038630000.0,10931637.710407853,0000,5311800048969000,5859358593,5089900047206000,38.6%38.8%38.6%38.8%,86998.78368386998.783683
York,York St John University,YO31 7EX,Yorkshire and the Humber,York St John University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,48988284947870,00,0.0,00,00,30414193225354,00,370322308.79,0.0,00,0.0,0.0,0.0,22110001076000.0,00,7670800067754000.0,83105698173532.79,0000,9194400079822000,73347.07571057.945,8855200077953000,0,0
Leeds,Leeds College of Music,LS2 7PD,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham,"Newman University, Birmingham",B32 3NT,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,University of Bolton,BL3 5AB,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,Ravensbourne,SE10 0EW,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,Writtle University College,CM1 3RR,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,Rose Bruford College,DA15 9DF,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,City University,EC1V 0HB,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucestershire,Royal Agricultural University,GL7 6JS,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,Royal Northern College of Music,M13 9RD,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle upon Tyne,University of Newcastle Upon Tyne,NE1 7RU,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,The Royal Veterinary College,NW1 0TU,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,London Business School,NW1 4SA,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Royal Academy of Music,NW1 5HT,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,College of St Mark & St John,PL6 8BH,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,Trinity Laban,SE8 3DZ,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,"Goldsmiths College, University of London",SE14 6NW,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton,Southampton Solent University,SO14 0YN,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandsworth,Roehampton University,SW15 5PJ,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandsworth,St George's Hospital Medical School,SW17 0RE,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telford and Wrekin,Harper Adams University,TF10 8NB,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillingdon,Brunel University,UB8 3PH,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,School of Oriental and African Studies,WC1H 0XG,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton,University of Wolverhampton,WV1 1LY,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets,Courtauld Institute of Art,WC2R 0RN,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,Liverpool Institute of Performing Arts,L1 9HF,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckinghamshire,University of Buckingham,MK18 1EG,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
