"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007160","The University of Surrey","73,483,048.000","39,128.000","0.000","307,586.000","4,588.000"
"10007806","The University of Sussex","65,932,842.640","2,245.300","0.000","328,163.280","670,438.500"
"10007855","Swansea University","63,195,485.000","2,184.000","0.000","251,720.000","1,050,646.000"
"10007161","Teesside University","24,477,376.000","5,414.275","0.000","61,737.000","97,483.000"
"10008017","Trinity Laban Conservatoire of Music and Dance","4,139,256.610","1,125.900","0.000","13,226.767","0.000"
"10007858","University of Wales Trinity Saint David","18,561,974.450","31,752.760","0.000","34,635.560","90,265.000"
"10007807","Ulster University","44,512,448.630","10,355.000","611,625.000","65,003.000","2,917,503.000"
"10007784","University College London","242,863,937.454","4,062.680","0.000","336,244.000","465,921.000"
"10007793","University of South Wales","28,852,383.910","6,425.150","0.000","115,466.000","1,435,103.000"
"10007163","The University of Warwick","159,854,693.650","41,621.030","6,551.000","520,835.170","941,590.000"
"10007164","University of the West of England, Bristol","59,492,956.000","62,083.350","0.000","222,155.732","444,312.000"
"10007800","The University of the West of Scotland","20,355,064.000","2,977.000","0.000","50,836.000","8,245.000"
"10006566","The University of West London","11,309,257.740","1,120.520","0.000","24,661.730","2,589,818.000"
"10007165","The University of Westminster","31,613,149.000","0.000","0.000","123,090.000","299,956.000"
"10003614","The University of Winchester","10,735,181.000","4,174.000","0.000","65,921.000","216.209"
"10007139","University of Worcester","12,550,129.000","9,824.000","73,821.000","63,499.000","424,929.000"
"10007833","Wrexham University","10,931,637.700","930.000","0.000","21,614.000","86,998.700"
"10007713","York St John University","8,310,569.000","6,244.000","6,340.000","43,416.000",""
"10007167","The University of York","99,994,102.854","34,259.470","490,593.000","326,368.000","18,759.000"
