HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
Newcastle University,2022/23,North East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),42.3%
Newcastle University,2022/23,North East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),851466
Newcastle University,2022/23,North East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),189917
Newcastle University,2022/23,North East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),100.0%
Newcastle University,2022/23,North East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),868.62
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),36870.8
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),72117.15
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),62753.52
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),107267.26
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),3427.9
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),55575.89
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category B (m2),46438.25
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category C (m2),47833.29
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category D (m2),434.7
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category E (m2),2902.44
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
Newcastle University,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
Newcastle University,2022/23,North East,EU Emissions Trading Scheme,Participation,
Newcastle University,2022/23,North East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
Newcastle University,2022/23,North East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
Newcastle University,2022/23,North East,EU Emissions Trading Scheme,Cost (£),
The University of Northampton,2022/23,East Midlands,Environmental reporting total,Environmental reporting total,Yes
The University of Northampton,2022/23,East Midlands,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),41.0%
The University of Northampton,2022/23,East Midlands,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),582517
The University of Northampton,2022/23,East Midlands,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),3381301
The University of Northampton,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
The University of Northampton,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category A (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category B (m2),9568
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category C (m2),
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category D (m2),3840
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category E (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category F (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category G (m2),4301
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category A (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category B (m2),32063
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category C (m2),23400
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category E (m2),818
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The University of Northampton,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The University of Northampton,2022/23,East Midlands,EU Emissions Trading Scheme,Participation,
The University of Northampton,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The University of Northampton,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The University of Northampton,2022/23,East Midlands,EU Emissions Trading Scheme,Cost (£),
University of Northumbria at Newcastle,2022/23,North East,Environmental reporting total,Environmental reporting total,Yes
University of Northumbria at Newcastle,2022/23,North East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),47.0%
University of Northumbria at Newcastle,2022/23,North East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),913381
University of Northumbria at Newcastle,2022/23,North East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),286646
University of Northumbria at Newcastle,2022/23,North East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),100.0%
University of Northumbria at Newcastle,2022/23,North East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category A (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category B (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category C (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category D (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category E (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category F (m2),
University of Northumbria at Newcastle,2022/23,North East,Gross Internal Area in DEC or EPC,Residential category G (m2),
University of Northumbria at Newcastle,2022/23,North East,EU Emissions Trading Scheme,Participation,
University of Northumbria at Newcastle,2022/23,North East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
University of Northumbria at Newcastle,2022/23,North East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
University of Northumbria at Newcastle,2022/23,North East,EU Emissions Trading Scheme,Cost (£),
Norwich University of the Arts,2022/23,East of England,Environmental reporting total,Environmental reporting total,
Norwich University of the Arts,2022/23,East of England,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),
Norwich University of the Arts,2022/23,East of England,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),
Norwich University of the Arts,2022/23,East of England,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),
Norwich University of the Arts,2022/23,East of England,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),
Norwich University of the Arts,2022/23,East of England,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category A (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category B (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category C (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category D (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category E (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category F (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Non-residential category G (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category A (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category B (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category C (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category D (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category E (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category F (m2),
Norwich University of the Arts,2022/23,East of England,Gross Internal Area in DEC or EPC,Residential category G (m2),
Norwich University of the Arts,2022/23,East of England,EU Emissions Trading Scheme,Participation,
Norwich University of the Arts,2022/23,East of England,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
Norwich University of the Arts,2022/23,East of England,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
Norwich University of the Arts,2022/23,East of England,EU Emissions Trading Scheme,Cost (£),
University of Nottingham,2022/23,East Midlands,Environmental reporting total,Environmental reporting total,Yes
University of Nottingham,2022/23,East Midlands,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),0.0%
University of Nottingham,2022/23,East Midlands,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),2581823
University of Nottingham,2022/23,East Midlands,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),584092
University of Nottingham,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
University of Nottingham,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category A (m2),0
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category B (m2),37545
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category C (m2),75150
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category D (m2),176252
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category E (m2),93467
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category F (m2),50047
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category G (m2),44037
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category A (m2),5616
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category B (m2),13521
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category C (m2),66458
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category D (m2),34247
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category E (m2),4249
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category F (m2),0
University of Nottingham,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category G (m2),0
University of Nottingham,2022/23,East Midlands,EU Emissions Trading Scheme,Participation,
University of Nottingham,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
University of Nottingham,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
University of Nottingham,2022/23,East Midlands,EU Emissions Trading Scheme,Cost (£),
The Nottingham Trent University,2022/23,East Midlands,Environmental reporting total,Environmental reporting total,Yes
The Nottingham Trent University,2022/23,East Midlands,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),37.0%
The Nottingham Trent University,2022/23,East Midlands,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),12933149
The Nottingham Trent University,2022/23,East Midlands,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),844848
The Nottingham Trent University,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),1.0%
The Nottingham Trent University,2022/23,East Midlands,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category A (m2),470
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category B (m2),29545
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category C (m2),121805
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category D (m2),29068
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category E (m2),5058
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category F (m2),952
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Non-residential category G (m2),9255
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category A (m2),2860
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category B (m2),10833
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category C (m2),716
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category E (m2),0
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The Nottingham Trent University,2022/23,East Midlands,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The Nottingham Trent University,2022/23,East Midlands,EU Emissions Trading Scheme,Participation,
The Nottingham Trent University,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The Nottingham Trent University,2022/23,East Midlands,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The Nottingham Trent University,2022/23,East Midlands,EU Emissions Trading Scheme,Cost (£),
The Open University,2022/23,South East,Environmental reporting total,Environmental reporting total,No
The Open University,2022/23,South East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),0.0%
The Open University,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
The Open University,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),182003
The Open University,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.7%
The Open University,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),3615
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),8559
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),4140
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),6438
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),96976
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),1419
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category B (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category C (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category E (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The Open University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The Open University,2022/23,South East,EU Emissions Trading Scheme,Participation,
The Open University,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The Open University,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The Open University,2022/23,South East,EU Emissions Trading Scheme,Cost (£),
Oxford Brookes University,2022/23,South East,Environmental reporting total,Environmental reporting total,Yes
Oxford Brookes University,2022/23,South East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),35.0%
Oxford Brookes University,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),2922114
Oxford Brookes University,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),326579
Oxford Brookes University,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
Oxford Brookes University,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),295
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),33937
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),63024
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),4620
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),0
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),5411
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),2926
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category B (m2),34241
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category C (m2),20380
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category D (m2),10813
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category E (m2),0
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
Oxford Brookes University,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
Oxford Brookes University,2022/23,South East,EU Emissions Trading Scheme,Participation,
Oxford Brookes University,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
Oxford Brookes University,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
Oxford Brookes University,2022/23,South East,EU Emissions Trading Scheme,Cost (£),
The University of Oxford,2022/23,South East,Environmental reporting total,Environmental reporting total,Yes
The University of Oxford,2022/23,South East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),100.0%
The University of Oxford,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),931287.553
The University of Oxford,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),312054
The University of Oxford,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
The University of Oxford,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),8637.8
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),47721.11
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),108876.29
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),123653.81
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),49284.72
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),93197.8
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),182904.73
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category B (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category C (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category E (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The University of Oxford,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The University of Oxford,2022/23,South East,EU Emissions Trading Scheme,Participation,
The University of Oxford,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The University of Oxford,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The University of Oxford,2022/23,South East,EU Emissions Trading Scheme,Cost (£),
University of Plymouth,2022/23,South West,Environmental reporting total,Environmental reporting total,Yes
University of Plymouth,2022/23,South West,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),42.4%
University of Plymouth,2022/23,South West,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),3647797
University of Plymouth,2022/23,South West,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),95786
University of Plymouth,2022/23,South West,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
University of Plymouth,2022/23,South West,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category A (m2),1493
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category B (m2),40965.28
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category C (m2),44864.12
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category D (m2),50430.13
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category E (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category F (m2),2320.49
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Non-residential category G (m2),10124.3
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category A (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category B (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category C (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category D (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category E (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category F (m2),0
University of Plymouth,2022/23,South West,Gross Internal Area in DEC or EPC,Residential category G (m2),0
University of Plymouth,2022/23,South West,EU Emissions Trading Scheme,Participation,
University of Plymouth,2022/23,South West,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
University of Plymouth,2022/23,South West,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
University of Plymouth,2022/23,South West,EU Emissions Trading Scheme,Cost (£),
The University of Portsmouth,2022/23,South East,Environmental reporting total,Environmental reporting total,Yes
The University of Portsmouth,2022/23,South East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),100.0%
The University of Portsmouth,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
The University of Portsmouth,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),260210
The University of Portsmouth,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
The University of Portsmouth,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),9266
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),20022.42
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),51178
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),41045
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category B (m2),15729.56
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category C (m2),7525
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category E (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The University of Portsmouth,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The University of Portsmouth,2022/23,South East,EU Emissions Trading Scheme,Participation,
The University of Portsmouth,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The University of Portsmouth,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The University of Portsmouth,2022/23,South East,EU Emissions Trading Scheme,Cost (£),
"Queen Margaret University, Edinburgh",2022/23,Scotland,Environmental reporting total,Environmental reporting total,No
"Queen Margaret University, Edinburgh",2022/23,Scotland,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),0.0%
"Queen Margaret University, Edinburgh",2022/23,Scotland,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
"Queen Margaret University, Edinburgh",2022/23,Scotland,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category A (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category B (m2),24280.54
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category C (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category D (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category E (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category F (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category G (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category A (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category B (m2),17232
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category C (m2),4904
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category D (m2),0
